BEST_PARENT,parcels,source,addr
WHITWORTH HOMEOWNERS' ASSOCIATION INC,36,name_only,2180 W SR 434 STE 5000 C/O SENTRY MANAGEMENT INC LONGWOOD FL 32779
M/I Homes (NYSE: MHO),35,canon_parent,725 COOL SPRINGS BLVD STE 180 FRANKLIN TN 37067
BUDDY DUNN CONTRACTORS LP,35,name_only,5341 WEBER RD
6004 ROBERTSON LLC,35,name_only,1326 4TH AVE N NASHVILLE TN 37208
HR PROPERTIES OF TENNESSEE,35,name_only,4219 HILLSBORO RD 330 NASHVILLE TN 37215
Frank Batson,35,canon_parent,712 NORWALK CT NASHVILLE TN 37214
PARAGON MILLS VENTURE LLC,35,name_only,1209 SAXON DR NASHVILLE TN 37215
R J YORK HOMES LLC,34,name_only,2120 LEBANON PK 46 NASHVILLE TN 37210
HIDDEN TRAIL PROPERTIES LLC,34,name_only,8223 ALAMO RD BRENTWOOD TN 37027
CREAM CITY DEVELOPMENT LLC,34,name_only,1071 2ND AVE S NASHVILLE TN 37210
FAITHFUL AND TRUE LLC,34,name_only,PO BOX 110121 NASHVILLE TN 37222
STREET TN COMMUNITY PROPERTY REVOCABLE TRUST THE,34,name_only,5952 HITCHING POST LN NASHVILLE TN 37211
HARWELL PROPERTIES LLC,34,name_only,5337 WEBER RD HERMITAGE TN 37076
GREMADA RE LLC,33,name_only,825 28TH ST S UNIT E FARGO ND 58103
BUSH W G & CO,33,name_only,1136 2ND AVE NORTH NASHVILLE TN 37208
WCP SFR PROPERTIES LLC,33,name_only,251 LITTLE FALLS DR WILMINGTON DE 19808
Yazdian,33,curated_brand,7175 NOLENSVILLE RD STE 207 NOLENSVILLE TN 37135
BUENA VISTA AMIGOS LLC,33,name_only,408 TAYLOR ST STE 202 NASHVILLE TN 37208
JNBW PROPERTIES LLC,33,name_only,5133 HARDING PIKE STE A1 NASHVILLE TN 37205
KIDDSROAD LLC,33,name_only,7177 NOLENSVILLE RD STE B3 NOLENSVILLE TN 37135
CLS INVESTMENT PROPERTIES INC,32,name_only,PO BOX 325 MADISON TN 37115
TM INVESTMENT LLC,32,name_only,231 LARGO DR NASHVILLE TN 37211
MONTICELLO VALLEY PARTNERS LLC,32,name_only,1805 ELLIOTT AVE NASHVILLE TN 37203
O I C MCPHERSON PLACE TOWNHOMES,32,name_only,5516 MAPLESONG DR NASHVILLE TN 37211
PNB HOLDING CO 2 INC,32,name_only,150 3RD AVE S STE 800 NASHVILLE TN 37201
NASHVILLE RENTALS II LLC,32,name_only,335 DUKE ST
MG STREET HOLDINGS LLC,32,name_only,2812 27TH AVE S NASHVILLE TN 37212
Raw-tract holder,32,canon_parent,PO BOX 23857 NASHVILLE TN 37202
MOB 65 OF TENNESSEE LLC,31,name_only,1920 MAIN ST STE 1200 IRVINE CA 92614
VILLAGES OF RIVERWOOD HOMEOWNERS ASSOCIATION INC THE,31,name_only,1018 ELM HILL PK NASHVILLE TN 37210
SUNSET LLC,31,name_only,436 ATLAS DR NASHVILLE TN 37211
Ashton Woods (Brookfield takedown),31,canon_parent,3200 PARK CENTER DR COSTA MESA CA 92626
JRG PROPERTIES LLC,31,name_only,1501 FOREST GARDEN DR BRENTWOOD TN 37027
