parid,apn,acct
1825,00800002200,879
1827,00800002300,880
1830,00800002500,882
1831,00800002600,883
1842,00800002900,886
1846,00800003200,888
1864,00800003800,891
1866,00800003900,893
1868,00800004000,894
1871,00800004300,897
1873,00800004500,899
1874,00800004600,900
1875,00800004700,901
1876,00800004800,902
1877,00800004900,903
1881,00800005100,905
1892,00800005900,912
1894,00800006000,913
1895,00800006100,914
1897,00800006200,915
1898,00800006300,916
1900,00800006500,918
1901,00800006501,919
1902,00800006502,920
1903,00800006503,921
1904,00800006600,922
1906,00800006601,923
1908,00800006603,925
1920,00800006900,927
1923,00800007000,928
1924,00800007100,929
1936,00800013400,990
1937,00800013500,991
1939,00800013600,992
1940,00800013700,993
1941,00800013800,994
1942,00800013900,995
1944,00800014100,997
1945,00800014200,998
1946,00800014300,999
1947,00800014400,1000
1948,00800014500,1001
1950,00800014700,1003
1952,00800014900,1005
1955,00800015200,1007
1958,00800015500,1009
1963,00800015800,1012
1970,00900001700,1074
1983,00900002101,1079
1985,00900002200,1080
1987,00900002400,1082
1994,00800015900,1013
1995,00800016000,1014
1999,00800016300,1017
2000,00800016400,1018
2002,00800016500,1019
2004,00800016600,1020
2005,00800016700,1021
2006,00800016800,1022
2009,00800017100,1025
2010,00800017200,1026
2011,00800017300,1027
2016,00800017500,1029
2022,00800017900,1033
2024,00800018000,1034
2026,00800018300,1035
2032,00800018600,1038
2033,00800018700,1039
2035,00800018900,1041
2037,00800019000,1042
2038,00800019100,1043
2045,00800019600,1046
2047,00800019700,1047
2048,00800019800,1048
2050,00800019900,1049
2051,00800020000,1050
2052,00800020100,1051
2054,00800020300,1053
2055,00800020400,1054
2056,00800020500,1055
2057,00800020600,1056
2060,00800020800,201557
2066,00800021100,209138
2067,00800021200,209139
2071,00800021500,212197
2075,00800021900,212758
2079,00800022300,213814
2081,00800022500,213816
2083,00800022700,213908
2084,00800023000,219260
2092,00900000300,1059
2095,00900000400,1060
2098,00900000600,1062
2104,00900000900,1065
2106,00900001000,1066
2109,00900001001,1067
2112,00900001100,1069
2116,00900001200,1070
2117,00800009200,950
2121,00800009400,952
2122,00800009500,953
2125,00800009800,956
2126,00800009900,957
2129,00800010000,958
2131,00800010100,959
2132,00800010200,960
2134,00800010300,961
2136,00800010400,962
2137,00800010500,963
2138,00800010600,964
2139,00800010700,965
2140,00800010800,966
2141,00800010900,967
2142,00800011000,968
2143,00800011100,969
2144,00800011200,970
2147,00800011400,972
2148,00800011500,973
2149,00800011600,974
2150,00800011700,975
2158,00800012200,980
2169,00800012700,984
2170,00800012800,985
2171,00800012900,986
2175,00800013200,988
2177,00900011500,1177
2181,00900011700,1179
2186,00900011900,1180
2188,00900012100,1182
2190,00900012200,1183
2191,00900012300,1184
2193,00900012500,1186
2194,00900012600,1187
2198,00900012900,1190
2199,00900013600,1191
2201,00900013700,1192
2202,00900013800,1193
2204,00900013900,1194
2209,00900002700,1085
2211,00900002800,1086
2212,00900002900,1087
2214,00900003000,1088
2215,00900003100,1089
2216,00900003200,1090
2217,00900003300,1091
2218,00900003400,1092
2219,00900003500,1093
2220,00900003600,1094
2233,00900003801,1097
2243,00900004000,1099
2244,00900004100,1100
2250,00900004200,1101
2261,00900004501,1104
2262,00900004502,1105
2264,00900004600,1107
2265,00900004700,1108
2267,00900004800,1109
2270,00900004900,1110
2271,00900005000,1111
2274,00900005200,1113
2275,00900005300,1114
2277,00900005400,1115
2278,00900005500,1116
2279,00900005600,1117
2280,00900005700,1118
2281,00900005800,1119
2282,00900005900,1120
2284,00900006000,1121
2290,00900006202,1124
2292,00900006300,1125
2293,00900006301,1126
2295,00900006400,1128
2299,00900006600,1130
2301,00900006800,1132
2302,00900006900,1133
2305,00900007000,1134
2312,00900007200,1136
2320,00900007300,1137
2321,00900007500,1138
2324,00900007600,1139
2325,00900007601,1140
2327,00900007700,1141
2336,00900008300,1146
2338,00900008400,1147
2340,00900008500,1148
2343,00900008700,1149
2344,00900008800,1150
2346,00900009000,1152
2351,00900009100,1153
2359,00900009600,1158
2360,00900009700,1159
2362,00900009800,1160
2364,00900010000,1162
2367,00900010200,1164
2368,00900010300,1165
2371,00900010500,1167
2372,00900010600,1168
2375,00900010800,1170
2376,00900010900,1171
2378,00900011000,1172
2381,00900011200,1174
2382,00900011300,1175
2386,00900018800,1235
2387,00900018900,1236
2395,00900019200,1239
2396,00900019300,1240
2397,00900019400,1241
2398,00900019500,1242
2400,00900019700,1244
2401,00900019800,1245
2402,00900019900,1246
2403,00900020000,1247
2408,00900020500,1251
2412,00900020700,1253
2413,00900020800,1254
2415,01000007400,1327
2416,01000007500,1328
2419,01000007800,1331
2420,01000007900,1332
2421,01000008000,1333
2423,01000008200,1334
2426,01000008500,1337
2427,01000008600,1338
2428,01000008700,1339
2429,01000008800,201566
2436,01000009200,210934
2437,01000009300,210714
2438,01000009400,217329
2441,01100000100,1340
2444,01100000200,1341
2448,00900021200,1258
2449,00900021300,1259
2453,00900021800,1263
2454,00900021900,1264
2455,00900022000,201559
2456,00900022100,201560
2459,00900022700,201562
2460,00900022800,201563
2462,00900023000,201565
2463,00900023100,215811
2465,00900023300,219263
2481,01000001100,1270
2485,01000001400,1273
2492,01000001900,1277
2493,01000002000,1278
2500,01000002200,1280
2508,01000002700,1284
2510,01000002900,1285
2516,01000003200,1288
2517,01000003300,1289
2520,01000003500,1291
2521,01000003600,1292
2522,01000003700,1293
2524,01000003800,1294
2527,01000004100,1297
2528,01000004200,1298
2532,01000004500,1300
2533,01000004600,1301
2534,01000004700,1302
2535,01000004800,1303
2536,01000004900,1304
2538,01000005100,1306
2539,01000005200,1307
2540,01000005300,1308
2543,01000005500,1309
2544,01000005600,1310
2545,01000005700,1311
2546,01000005800,1312
2547,01000005900,1313
2548,01000006000,1314
2555,01000006600,1319
2556,01000006700,1320
2557,01000006800,1321
2558,01000006900,1322
2560,01000007100,1324
2563,01000007200,1325
2573,00900014600,1199
2575,00900014800,1201
2579,00900015000,1202
2580,00900015100,1203
2582,00900015200,1204
2586,00900015400,1205
2592,00900015900,1209
2594,00900016000,1210
2596,00900016100,1211
2598,00900016200,1212
2600,00900016400,1214
2603,00900016600,1216
2606,00900016900,1219
2615,00900017700,1226
2619,00900018200,1229
2626,00900018500,1232
2630,01100009100,1423
